total_lines,LOC,blanks,comments,rawVersion,version,addresses,assemblyStatement,block,contracts_definition,contracts,doWhileStatement,emitStatement,events,forStatement,functions,ifStatement,inlineAssemblyStatement,interfaces,libraries,mapping,modifiers,payable,public,pure,returnStatement,revertStatement,simpleStatement,throwStatement,tryStatement,view,isVirtual,isFallback,whileStatement,cyclomatic,abiLength,abiStringLength,bytecode,contractAddress
1,1,0,14,^0.4.12,0.4.12,17,0,26,1,1,0,0,2,3,20,3,0,0,0,5,0,2,0,0,12,0,0,0,0,0,0,1,0,26,178,4115,12306,0x022125b1ee6de357ad437807c1e0ce4daa6c82b3
10,10,0,0,^0.4.0,0.4.0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,16,307,1480,0x03ab37e5754f55c965101ba1623b3bc91e819b28
10,9,1,0,^0.5.16,0.5.16,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,246,1254,0x056c307712fa2a83207a4e0c438be1469c94a89e
100,43,18,12,^0.4.23,0.4.23,8,0,8,3,3,0,2,1,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,6,69,1418,3024,0x0000000000027f6d87be8ade118d9ee56767d993
1001,368,105,99,0.6.12,0.6.12,90,0,68,7,3,0,9,5,12,56,12,3,1,2,8,1,1,0,10,40,0,0,0,0,16,15,0,1,81,175,6751,23854,0x01Ce398A2A59d164f366762EE70c596de06E9482
1001,697,232,143,0.5.17,0.5.17,132,0,107,7,2,0,17,14,40,63,40,1,2,3,13,2,3,0,6,30,0,0,0,0,15,0,1,0,143,578,21802,49110,0x0323fa07c085d3eb28a8c0a500112171f6dddd75
1004,331,106,89,0.6.12,0.6.12,87,0,74,9,3,0,7,3,10,74,10,2,1,3,5,1,1,0,14,44,0,0,0,0,15,22,0,0,94,99,2692,8044,0x034d1ddf41ee5eb8829b3bfb508d8611d59beaa0
1005,387,182,127,=0.6.11 >=0.6.0 <0.8.0 >=0.6.2 <0.8.0,0.7.0,124,0,61,11,2,0,11,13,7,120,7,2,3,4,4,1,1,0,12,30,0,0,0,0,49,4,0,0,134,33,1317,15226,0x0155729EbCd47Cb1fBa02bF5a8DA20FaF3860535
1007,371,106,101,0.6.12,0.6.12,90,0,69,7,3,0,9,5,12,57,12,3,1,2,8,1,1,0,10,40,0,0,0,0,16,15,0,1,82,181,6901,25044,0x0008557B1D87a622ec73A2ae1969548CF6810f79
101,79,22,0,^0.4.13,0.4.13,23,0,14,2,2,0,0,2,2,14,2,0,0,0,3,1,0,0,0,7,0,0,0,0,0,0,0,0,18,103,2599,7342,0x003f79d7be15dc1ad90ce00e6ea68f335e2b789b
