comments,blanks,rawVersion,version,total_lines,addresses,assemblyStatement,block,contracts_definition,contracts,doWhileStatement,emitStatement,events,forStatement,functions,ifStatement,inlineAssemblyStatement,interfaces,libraries,mapping,modifiers,payable,public,pure,returnStatement,revertStatement,simpleStatement,throwStatement,tryStatement,view,isVirtual,isFallback,whileStatement,mmc,abiLength,abiStringLength,bytecode,contractAddress
0,102,0.8.1,0.8.1,56,6,0,11,1,1,0,0,0,2,7,2,0,0,0,1,1,1,0,0,2,0,0,0,0,2,0,1,0,11,12,1607,3216,0x506549B54ec673C0e2679058aFb7b2faE937fFf1
0,103,0.6.10,0.6.10,55,13,0,5,2,1,0,0,0,0,5,0,1,0,0,0,0,1,0,0,2,0,0,0,0,3,1,1,0,5,8,1448,2358,0xa746c67eb7915fa832a4c2076d403d4b68085431
0,103,^0.4.18,0.4.18,58,15,0,6,1,1,0,0,4,1,5,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,7,16,2835,3394,0xbd916e43b0168011cebb7673c04de7b389a60e09
0,106,>=0.5.0 <0.7.0,0.6.0,59,5,0,7,1,1,0,0,0,0,6,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,6,7,1389,1450,0xeC699100e23959797267319f4361168939e4eD95
0,107,^0.6.0,0.6.0,60,16,0,6,5,2,0,1,1,0,6,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,6,8,1208,5660,0x0a9b8a5d1a5fbf939cfd766bc22a018c5595fafe
0,108,>=0.4.21 <0.7.0,0.6.0,64,12,0,4,1,1,0,3,2,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,13,2712,6032,0x3bb292d3c8486f796d769bb16e978d33f36ca367
0,109,>=0.5.0,0.5.0,59,3,0,3,2,2,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2169,2350,0x8064333f6860d2abe3749b2c6e4fa0cafe0e87da
0,109,^0.4.20,0.4.20,57,21,0,6,3,3,0,0,2,0,11,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,12,2232,5634,0x6770d4f08f8b60163858e02752efd954b294d7fe
0,11,^0.4.24,0.4.24,7,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,253,386,0x3c196b0ebeeb222ae79c4b5aa06406ddb9a8beb3
0,11,^0.5.0,0.5.0,7,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,185,360,0x3396a1c2f0d3Fac7790d83F95cEc55c6e8fBf0d4
0,11,^0.8.0,0.8.0,7,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,140,762,0xb6da66eaca06d779e7fae494acb40a7bebba547d
0,110,^0.4.0,0.4.0,58,9,0,9,1,1,0,2,2,2,7,2,0,0,0,1,0,0,0,0,8,0,0,0,0,4,0,0,0,11,11,1833,3608,0x56c51b1781faab6108c3f74099ba40f9a913cff4
0,110,^0.4.18,0.4.18,62,13,0,8,1,1,0,0,4,1,7,1,0,0,0,3,0,2,0,0,4,0,0,0,0,1,0,1,0,9,16,2723,6250,0xed6b7cac1cd7872b96c20216b550c3aec1f13062
0,111,^0.4.25,0.4.25,60,14,0,5,1,1,0,2,2,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,8,1381,5142,0xdda0126bf47de0836aa22b9f57c54ecd8baf0cb2
0,111,^0.6.7,0.6.7,62,8,0,6,2,1,0,0,0,1,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,10,1711,3382,0xd00f9cabbd2a29c18c1e85bba8de42dadcf43568
0,113,0.7.6,0.7.6,58,2,0,10,1,1,0,1,1,1,9,1,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,11,12,2284,2122,0xf5694eb9b628aa8df4f2a1acfce6317aa8c13cba
0,114,^0.5.16,0.5.16,62,10,0,6,5,5,0,0,0,1,8,1,0,0,0,2,0,0,0,0,3,0,0,0,0,5,0,0,0,10,1,176,812,0x712e83f22c59c5ba2bcfa68dfb705f844b02ab15
0,114,^0.5.2,0.5.2,63,21,0,5,2,2,0,3,2,0,9,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,9,12,2219,6726,0xdade596ba3000bd3e9ccdacd7c4512aa92c915a3
0,114,^0.6.12,0.6.12,60,5,0,9,2,2,0,1,4,1,6,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,12,2559,5896,0xbd592588a115e95bb01d3437fe178fd71c707b8a
0,114,^0.7.0,0.7.0,62,7,0,7,3,1,0,0,0,0,7,0,0,2,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,7,4,1081,6894,0x5ffa0cab23f31b598bce7283ab2e40906f797e1e
0,115,>=0.8.0,0.8.0,59,24,0,7,1,1,0,3,2,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,7,14,2849,7908,0x3ba1f8b61c8237747369f89525e6366cebfcb22e
0,115,>=0.8.0,0.8.0,59,24,0,7,1,1,0,3,2,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,7,14,2849,7908,0xec0314e0734aaa9cd5298340b0e976fa73be911f
0,116,0.6.6,0.6.6,61,5,0,11,2,1,0,0,0,3,8,3,0,1,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,14,6,1005,4572,0x41c6ff92688c283e3a9aaa2779ad25c571c0bd8d
0,116,^0.5.0,0.5.0,63,11,0,4,1,1,0,3,2,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,11,2706,3114,0x4bda6957e3f1abd29064d2757be1b0be39bcdca5
0,116,^0.5.0,0.5.0,63,11,0,4,1,1,0,3,2,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,11,2706,3114,0x9c6acb4fdb2890196a5736cc6806b805a12a76f4
0,116,^0.5.0,0.5.0,63,11,0,4,1,1,0,3,2,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,11,2706,3114,0xfc07d3e0fd60e2ab9ad87618da70d25a2506589f
0,119,^0.5.0,0.5.0,63,24,0,4,2,1,0,1,3,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,10,9,2458,6998,0xDC2e28dFe19C6336973b1bcF6364E3b37aE84ce2
0,1190,^0.6.8,0.6.8,742,80,0,102,13,3,0,9,7,13,96,13,2,1,3,5,2,1,0,14,70,0,0,0,0,31,34,0,0,122,35,7123,20152,0xed0d5747A9AB03a75fBfEC3228cd55848245B75d
0,120,^0.4.0,0.4.0,63,6,0,9,1,1,0,2,2,2,7,2,0,0,0,2,0,0,0,0,7,0,0,0,0,3,0,0,0,11,12,2031,4918,0xa35634f33b025ee86df79f9f01bb5b24f798512e
0,120,^0.6.6,0.6.6,63,16,0,6,2,1,0,1,1,0,13,0,0,0,0,0,1,1,0,0,3,0,0,0,0,3,8,0,0,13,11,1592,3020,0x8a708bbf697fd1a45ede3f8c42bce76c00d94c82
0,120,^0.6.6,0.6.6,63,16,0,6,2,1,0,1,1,0,13,0,0,0,0,0,1,1,0,0,3,0,0,0,0,3,8,0,0,13,11,1592,3020,0xa1ed6f7b343b66d90f37e438881c147679f4bf38
0,124,0.5.11,0.5.11,72,12,0,10,3,2,0,3,1,0,9,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,9,8,1488,4458,0x7b837cecbf1c8487d0ae1535837b9f17af5e59a7
